N TIME
47358 868698
5633 26873
61282 513491
47911 1259823
22912 1366414
49896 1135628
29823 992238
6707 272050
29717 1146222
50839 747690
30785 1693969
13483 969267
11740 226641
39210 1096564
9155 520231
38727 1292186
38258 2057460
14649 247653
50990 4010520
57732 864144
61102 4091548
63478 2039496
349 3351
12319 199291
29255 639832
49024 399696
8972 135934
57288 4494181
26950 1163805
5460 103288
47207 2301615
50591 526376
59223 4046240
58310 3871335
29146 2242084
50226 1401467
36539 2297725
49834 2238403
1168 51313
34134 932762
54497 2001365
50184 1816774
49312 2789327
55446 3295678
40129 773313
35973 1480326
26433 855235
10007 102029
18206 14713
33839 2672524
10357 529082
2582 167172
37637 2246566
64791 3716303
22132 897220
2436 63326
50591 1808658
18941 1234219
64634 1472443
48120 1027388
20750 667451
55977 3744607
33801 480384
26494 1756985
22607 445926
34683 1733449
3983 166316
15784 1020298
9944 564204
64235 1076995
6841 375642
18772 548235
30340 1667885
14287 756810
42397 3045019
9356 526358
52946 3792699
60900 354847
22154 1657334
62161 40993
60824 2357584
8468 619170
63995 1537078
31208 2008969
34306 1394945
9260 478842
30504 1235177
22686 1491271
40042 2379493
29839 1201072
1744 86944
3838 310680
13594 353247
55046 4267649
61374 562108
376 24972
4356 276028
7144 133029
42097 928310
64670 5092714
58514 1509274
9886 730315
17358 945781
10963 718328
34985 1682366
52902 3961769
6403 199549
15704 1072120
23958 841217
41662 2152812
31698 1002277
18851 22202
27315 1637192
15007 1115130
24189 1402201
52382 1103268
26419 702826
25982 1392568
12564 350869
30280 1290920
33357 2201534
28949 1006367
52965 2202908
28362 439589
61664 3030028
58659 2849914
13324 237654
10330 749056
21197 1348993
3618 93183
21226 625248
51015 3579749
942 32450
46022 393703
52917 3507027
35580 1437932
46365 2813360
53101 3999358
39614 893052
6267 259032
20212 1422326
41679 545529
3667 286188
53593 392043
48854 2523532
17655 668393
27169 1100809
40305 794520
63792 522304
47953 239540
34656 1651888
51214 2629734
51888 812704
20153 546926
62321 3369653
42682 118465
51523 3078159
16367 891985
44391 1069493
28765 402552
14778 67507
28480 1071799
54353 1765527
32468 2471459
31632 455547
10537 398975
22772 794391
18488 243373
18210 193302
51115 3114253
20191 1294708
45094 190805
10237 366343
41965 3062278
34144 1010488
62268 1206378
15115 834871
42492 3219452
37872 28378
42199 1660165
12092 750503
56690 3355493
39757 2168210
29055 1172444
41438 2528922
65187 1215287
54374 3269385
43809 958814
43648 4529
63597 3790172
28065 26360
48318 1512742
44341 2853453
21307 726274
36371 2185
62609 4053327
58563 2322958
51288 3645210
8918 511820
59290 2667497
50147 1245874
3723 66366
39915 1116357
1358 83222
21464 1034867
5990 364685
63634 648994
9580 540862
11819 659856
41686 1505863
3662 139464
17885 900651
55340 3727018
10410 251088
7543 351374
24089 548676
55565 3513174
40594 508003
53407 1229555
33020 847283
16512 856960
7504 158997
44979 2702808
39109 2070814
63589 1632345
39439 2848978
29366 1891778
65025 4374479
44415 1983958
42342 2710127
25005 1241177
44020 2934374
62040 2977214
43402 1570843
45691 127066
46614 1202649
23600 668897
43643 2494886
44073 308235
32515 1468819
57373 4218889
4466 207509
33126 1392572
4005 56304
5026 345887
55274 1727192
27572 383723
60057 2761492
214 10710
62776 2261327
37069 2584834
1491 53365
54489 2642321
51595 1420405
23141 1621951
3100 237449
49060 3229997
14314 648277
6904 301317
40952 2651816
64919 4936386
2976 69685
36158 2293717
21591 1504299
29213 571900
52889 502941
54913 1449463
8955 603385
2471 62552
65076 2212358
63439 487352
15534 1086969
27566 1274571
32036 711872
34548 2427725
8849 625057
51871 3976502
48776 130155
16074 7423
28097 136787
3391 205587
47129 1517846
59764 2199509
19448 1208867
1489 109810
16252 1054815
32259 1397806
29930 1157810
11677 49894
29898 1946561
20003 72959
8706 681296
57470 3056956
50535 3596302
57911 1429518
41782 2088554
46449 3224807
39408 3168742
5501 413765
38658 11279
8152 584031
9431 120272
58855 1520058
33109 330813
5669 395182
10007 153022
32698 1207788
50358 223552
14010 173736
32850 2558664
18919 882000
17995 387265
43599 1744403
38190 2737034
32750 2282436
27547 1568897
3285 143940
30013 130078
44647 2608912
59769 3258254
33314 2042817
61929 2349812
60056 876254
930 51723
26756 1456475
19360 1379900
11964 203376
65534 1708660
39319 1683221
27317 1076442
48989 2195606
52267 3658442
60460 1486042
50029 1231064
16858 201621
32920 1525522
39319 1604499
33272 1597009
18510 1418426
7206 461925
13931 446210
49023 1875103
8909 459090
19896 1540504
20997 962234
32039 1411229
23798 1435481
53723 2028347
29933 291820
56396 3414427
4870 369507
14763 776167
35133 1610686
25035 664090
16224 838956
54857 1656402
3871 204195
38663 3009457
57935 3231791
7061 356754
990 8895
48469 3807715
63034 4458336
11361 415088
62949 2214907
2568 149372
2304 92292
33352 2132582
51393 3891952
13441 1042614
20878 144204
58369 3357138
55517 2230709
55384 2128353
60723 1646728
8869 10513
