N TIME
54497 88124
50184 77601
49312 120352
55446 140857
40129 32965
35973 63260
26433 36159
10007 4474
18206 943
33839 115565
10357 22856
2582 7256
37637 95584
64791 159038
22132 38353
2436 2984
50591 79196
18941 53990
64634 63992
48120 43850
20750 28659
55977 162620
33801 20886
26494 74594
22607 19553
34683 74671
3983 7465
15784 43537
9944 24745
64235 46645
6841 16363
18772 23685
30340 70507
14287 33086
42397 130468
9356 22766
52946 167151
60900 15815
22154 71816
62161 2040
60824 100541
8468 26840
63995 66813
31208 85905
34306 60953
9260 20735
30504 52790
22686 63882
40042 102096
29839 51222
1744 4072
3838 12537
13594 15854
55046 184407
61374 25392
376 1350
4356 12038
7144 6317
42097 41194
64670 216624
58514 64029
9886 32004
17358 41530
10963 31187
34985 71912
52902 169679
6403 9013
15704 43259
23958 35682
41662 90949
31698 43092
18851 1220
27315 68737
15007 47402
24189 59607
52382 49535
26419 30746
25982 61311
12564 15773
30280 55548
33357 93476
28949 43526
52965 94321
28362 18949
61664 129334
58659 119141
13324 10739
10330 32421
21197 57396
3618 4315
21226 27213
51015 152333
942 1635
46022 17388
52917 151431
35580 62165
46365 120708
53101 172252
39614 38483
6267 11275
20212 61046
41679 22823
3667 12475
53593 17467
48854 108171
17655 29242
27169 46728
40305 34423
63792 22973
47953 11418
34656 74829
51214 114142
51888 35208
20153 23904
62321 144856
42682 5542
51523 132158
16367 38239
44391 46604
28765 17445
14778 3183
28480 45948
54353 74942
32468 108483
31632 20163
10537 17041
22772 34362
18488 10471
18210 8651
51115 133166
20191 55145
45094 8860
10237 15946
41965 132521
34144 43605
62268 52116
15115 36601
42492 139330
37872 1609
42199 70965
12092 32729
56690 146415
39757 94946
29055 50846
41438 108261
65187 52142
54374 142471
43809 42511
43648 295
63597 164232
28065 1509
48318 64561
44341 121618
21307 31733
36371 157
62609 174054
58563 100533
51288 155109
8918 22210
59290 114639
50147 54334
3723 3097
39915 49747
1358 3873
21464 45485
5990 15945
63634 28159
9580 23346
11819 28776
41686 64761
3662 6316
17885 38782
55340 155059
10410 10989
7543 15060
24089 23306
55565 152334
40594 22335
53407 52310
33020 36408
16512 36454
7504 7056
44979 115319
39109 88494
63589 69957
39439 121356
29366 80978
65025 186720
44415 84137
42342 114173
25005 53952
44020 124946
62040 127737
43402 66728
45691 5742
46614 52151
23600 28783
43643 105922
44073 13310
32515 62590
57373 179069
4466 9080
33126 61870
4005 2678
5026 14761
55274 72643
27572 16141
60057 121165
214 565
62776 96163
37069 109593
1491 2493
54489 115730
51595 59150
23141 68848
3100 10282
49060 139300
14314 27816
6904 13492
40952 114173
64919 211594
2976 3334
36158 97178
21591 64676
29213 25248
52889 21749
54913 63764
8955 25840
2471 2906
65076 94414
63439 21657
15534 46449
27566 54101
32036 29946
34548 104897
8849 27086
51871 172294
48776 6124
16074 544
28097 9439
3391 9460
47129 66088
59764 97195
19448 52336
1489 5130
16252 45916
32259 61189
29930 50650
11677 2622
29898 84437
20003 3662
8706 29635
57470 132488
50535 158384
57911 62998
41782 93203
46449 160730
39408 138323
5501 18420
38658 1096
8152 25699
9431 5664
58855 66616
33109 14931
5669 17419
10007 7258
32698 84863
50358 10348
14010 8131
32850 115503
18919 38712
17995 17187
43599 76660
38190 120212
32750 124972
27547 69646
3285 6694
30013 6308
44647 114890
59769 141133
33314 89087
61929 102918
60056 38232
930 2662
26756 63344
19360 59591
11964 8994
65534 74300
39319 73378
27317 47095
48989 95239
52267 158881
60460 62657
50029 55326
16858 9581
32920 66778
39319 69901
33272 69265
18510 62019
7206 58542
13931 19897
49023 83244
8909 21192
19896 67271
20997 42275
32039 62299
23798 62461
53723 87942
29933 13027
56396 148562
4870 16089
14763 33492
35133 71039
25035 29246
16224 36826
54857 72062
3871 9209
38663 135220
57935 144280
7061 15717
990 599
48469 164807
63034 193782
11361 18503
62949 100093
2568 6867
2304 4250
33352 92811
51393 168757
13441 45683
20878 6657
58369 147911
55517 101975
55384 92386
60723 71743
8869 767
58162 80926
31599 51645
59394 41831
39072 116820
62507 111825
36768 74351
40046 23656
44742 148167
23721 1483
32056 606
6156 1651
3099 6878
45874 48061
45118 135293
36859 121801
54254 130506
37731 113500
24040 49702
12333 37815
12570 26873
61066 116558
19122 8508
17492 5703
5381 4708
12111 2501
12629 1837
41096 58858
31949 18937
45746 93553
62002 169454
13551 13424
7491 7497
26627 62746
39717 92302
48787 153750
61266 39849
36279 43773
63362 71998
31948 12519
1873 6445
891 646
54481 142292
36252 69686
10234 7826
19993 5578
54291 46606
19266 43191
36317 116361
1867 4138
31725 108611
63317 14779
44119 47403
64116 47137
23858 7453
28213 3491
28238 5207
51716 48845
23535 31803
26979 86078
7092 10752
7213 1629
41540 5775
940 2284
58722 176549
51361 161903
5832 4943
14948 34900
40502 49992
50447 120730
51197 45307
15132 44739
44924 6262
29163 55250
32942 13064
45638 74912
35222 33443
57751 182409
28714 67312
37273 51697
6041 16023
59891 45439
4252 5943
58350 194676
17901 24494
42670 122371
3782 4995
39111 35912
51035 141370
55553 81429
30267 87205
30388 51511
20782 42208
57512 49046
65123 206849
31938 70924
25911 47757
56089 127018
56326 156807
58224 166507
39219 98506
7365 13182
64911 93787
42980 81815
21949 22124
7691 10455
41875 55552
63906 180541
42279 118241
16652 1872
53842 122284
61610 162059
3010 7143
42439 92308
44779 92515
35963 18517
27355 86704
18407 54022
49223 132074
16658 20166
23896 28780
30944 80268
60594 65027
40758 1706
7148 12882
58834 136880
11913 12866
27755 86558
7094 14473
13717 1070
31022 69578
44942 52075
50730 56741
11254 37154
43593 98355
8700 25214
11722 14664
59282 19114
4945 9805
16277 21761
20715 50972
37325 24342
38300 62506
59288 29007
56990 187224
10012 17351
14254 29595
44812 72979
11280 20187
44080 45507
